diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,0,0.3,0.2,0.3
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0,0,0
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0,0,0
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,0,0,0,0
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0,0.3
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,SUPPRESSED; n<10,0.1,0,0.3
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0.1,0.4
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0.1,0.4
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,SUPPRESSED; n<10,0.2,0.1,0.4
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,0,0.1,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.3
