quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
5,.5,.49000001,.50999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.94,.94999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.88,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81,.82999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.76999998,.79000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.74000001,.73000002,.75,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.70999998,.69999999,.72000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.69,.68000001,.69999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.67000002,.66000003,.68000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.63999999,.67000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63999999,.63,.64999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63,.62,.63999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.62,.61000001,.63,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.60000002,.62,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.57999998,.61000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.57999998,.60000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56999999,.56,.58999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56,.55000001,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.54000002,.52999997,.56,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.55000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.25,.92000002,.92000002,.93000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.5,.85000002,.83999997,.86000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.75,.77999997,.76999998,.79000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1,.73000002,.72000003,.74000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.69,.68000001,.70999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.66000003,.64999998,.68000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.63999999,.62,.64999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2,.61000001,.58999997,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.58999997,.56999999,.60000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.56999999,.56,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.56,.55000001,.57999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3,.55000001,.52999997,.56,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.52999997,.51999998,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.52999997,.50999999,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.51999998,.5,.52999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
