diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,15,0.5,0.3,0.8,region_East Midlands_stage_advanced
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5,region_East Midlands_stage_advanced
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,15,0.5,0.2,0.7,region_East Midlands_stage_advanced
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_East Midlands_stage_advanced
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_East Midlands_stage_advanced
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,75,0.4,0.3,0.5,
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,40,1.1,0.8,1.4,region_East of England
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,50,1.3,0.9,1.6,region_East of England
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,35,0.9,0.6,1.2,region_East of England
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,30,0.7,0.5,1.0,region_East of England
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,20,0.6,0.3,0.8,region_East of England
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,30,0.8,0.5,1.1,region_East of England
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,25,0.6,0.4,0.9,region_East of England
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,30,0.7,0.5,1.0,region_East of England
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,260,1.0,0.8,1.1,
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East of England_rtd_emergency
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East of England_rtd_emergency
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.1,region_East of England_rtd_emergency
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_emergency
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_emergency
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_emergency
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.1,region_East of England_rtd_emergency
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_East of England_rtd_emergency
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,0,0.0,0.0,0.1,
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,40,1.0,0.7,1.3,region_East of England_rtd_non_emergency
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,45,1.2,0.8,1.5,region_East of England_rtd_non_emergency
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,35,0.9,0.6,1.2,region_East of England_rtd_non_emergency
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_non_emergency
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_non_emergency
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_East of England_rtd_non_emergency
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,20,0.6,0.3,0.8,region_East of England_rtd_non_emergency
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,25,0.6,0.4,0.9,region_East of England_rtd_non_emergency
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,165,0.6,0.5,0.7,
2016,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,25,0.6,0.4,0.8,region_East of England_stage_early
2017,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,20,0.5,0.3,0.8,region_East of England_stage_early
2018,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,25,0.6,0.4,0.8,region_East of England_stage_early
2019,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,10,0.3,0.1,0.4,region_East of England_stage_early
2020,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,SUPPRESSED; n<10,0.2,0.0,0.3,region_East of England_stage_early
2021,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,15,0.4,0.2,0.6,region_East of England_stage_early
2022,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_East of England_stage_early
2023,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A,region_East of England_stage_early
allyears,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,95,0.3,0.3,0.4,
2016,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,15,0.4,0.2,0.6,region_East of England_stage_advanced
2017,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,25,0.7,0.4,0.9,region_East of England_stage_advanced
2018,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,10,0.3,0.1,0.5,region_East of England_stage_advanced
2019,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,10,0.3,0.1,0.5,region_East of England_stage_advanced
2020,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,15,0.3,0.2,0.5,region_East of England_stage_advanced
2021,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,15,0.3,0.2,0.5,region_East of England_stage_advanced
2022,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_East of England_stage_advanced
2023,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,region_East of England_stage_advanced
allyears,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,90,0.4,0.3,0.4,
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,55,0.9,0.7,1.1,region_London
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,0.9,region_London
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,0.9,region_London
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,0.9,region_London
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,0.9,region_London
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,60,0.9,0.7,1.2,region_London
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,1.0,region_London
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,45,0.7,0.5,0.9,region_London
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,385,0.9,0.8,1.0,
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_London_rtd_emergency
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.1,region_London_rtd_emergency
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.2,region_London_rtd_emergency
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_emergency
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_London_rtd_emergency
